package name,class name,method name,method signature
javacardx.biometry1toN,Bio1toNBuilder,buildBioMatcher,(short;byte;byte)
javacardx.biometry1toN,Bio1toNBuilder,buildBioMatcher,(short;byte;byte;byte[];byte)
javacardx.biometry1toN,OwnerBioMatcher,getBioType,()
javacardx.biometry1toN,OwnerBioMatcher,getBioTemplateData,(short)
javacardx.biometry1toN,OwnerBioMatcher,getVersion,(byte[];short)
javacardx.biometry1toN,OwnerBioMatcher,init,(byte[];short;short)
javacardx.biometry1toN,OwnerBioMatcher,isValidated,()
javacardx.biometry1toN,OwnerBioMatcher,match,(byte[];short;short)
javacardx.biometry1toN,OwnerBioMatcher,isInitialized,()
javacardx.biometry1toN,OwnerBioMatcher,update,(byte[];short;short)
javacardx.biometry1toN,OwnerBioMatcher,getMaxNbOfBioTemplateData,()
javacardx.biometry1toN,OwnerBioMatcher,putBioTemplateData,(short;javacardx.biometry1toN.BioTemplateData)
javacardx.biometry1toN,OwnerBioMatcher,getIndexOfLastMatchingBioTemplateData,()
javacardx.biometry1toN,OwnerBioMatcher,reset,()
javacardx.biometry1toN,OwnerBioMatcher,initMatch,(byte[];short;short)
javacardx.biometry1toN,OwnerBioMatcher,resetUnblockAndSetTryLimit,(byte)
javacardx.biometry1toN,OwnerBioMatcher,getTriesRemaining,()
javacardx.biometry1toN,OwnerBioMatcher,doFinal,()
javacardx.biometry1toN,SharedBioTemplateData,getBioType,()
javacardx.biometry1toN,SharedBioTemplateData,getPublicData,(short;byte[];short;short)
javacardx.biometry1toN,SharedBioTemplateData,isInitialized,()
javacardx.biometry1toN,Bio1toNException,throwIt,(short)
javacardx.biometry1toN,Bio1toNException,setReason,(short)
javacardx.biometry1toN,Bio1toNException,getReason,()
javacardx.biometry1toN,BioMatcher,getBioType,()
javacardx.biometry1toN,BioMatcher,getBioTemplateData,(short)
javacardx.biometry1toN,BioMatcher,isValidated,()
javacardx.biometry1toN,BioMatcher,match,(byte[];short;short)
javacardx.biometry1toN,BioMatcher,isInitialized,()
javacardx.biometry1toN,BioMatcher,getMaxNbOfBioTemplateData,()
javacardx.biometry1toN,BioMatcher,getIndexOfLastMatchingBioTemplateData,()
javacardx.biometry1toN,BioMatcher,reset,()
javacardx.biometry1toN,BioMatcher,initMatch,(byte[];short;short)
javacardx.biometry1toN,BioMatcher,getTriesRemaining,()
javacardx.biometry1toN,BioMatcher,getVersion,(byte[];short)
javacardx.biometry1toN,SharedBioMatcher,getBioType,()
javacardx.biometry1toN,SharedBioMatcher,getBioTemplateData,(short)
javacardx.biometry1toN,SharedBioMatcher,isValidated,()
javacardx.biometry1toN,SharedBioMatcher,match,(byte[];short;short)
javacardx.biometry1toN,SharedBioMatcher,isInitialized,()
javacardx.biometry1toN,SharedBioMatcher,getMaxNbOfBioTemplateData,()
javacardx.biometry1toN,SharedBioMatcher,getIndexOfLastMatchingBioTemplateData,()
javacardx.biometry1toN,SharedBioMatcher,reset,()
javacardx.biometry1toN,SharedBioMatcher,initMatch,(byte[];short;short)
javacardx.biometry1toN,SharedBioMatcher,getTriesRemaining,()
javacardx.biometry1toN,SharedBioMatcher,getVersion,(byte[];short)
javacardx.security,SensitiveResult,lookupAID,(byte[];short;byte)
javacardx.security,SensitiveResult,getPreviousContextAID,()
javacardx.security,SensitiveResult,getAlgorithm,()
javacardx.security,SensitiveResult,reset,()
javacardx.security,SensitiveResult,getAID,()
javacardx.security,SensitiveResult,decrementTriesRemaining,()
javacardx.security,SensitiveResult,parseCert,(byte[];short;short;javacardx.security.cert.CertificateParser.ParserHandler;javacard.security.PublicKey)
javacardx.security,SensitiveResult,initMatch,(byte[];short;short)
javacardx.security,SensitiveResult,arrayCompare,(byte[];short;byte[];short;short)
javacardx.security,SensitiveResult,arrayCopy,(byte[];short;byte[];short;short)
javacardx.security,SensitiveResult,assertEquals,(short)
javacardx.security,SensitiveResult,assertEquals,(java.lang.Object)
javacardx.security,SensitiveResult,verifyTag,(byte[];short;short;short)
javacardx.security,SensitiveResult,equalsMax,()
javacardx.security,SensitiveResult,verifyPreComputedHash,(byte[];short;short;byte[];short;short)
javacardx.security,SensitiveResult,isIntegritySensitiveArraysSupported,()
javacardx.security,SensitiveResult,assertFalse,()
javacardx.security,SensitiveResult,isIntegritySensitive,(java.lang.Object)
javacardx.security,SensitiveResult,clearArray,(java.lang.Object)
javacardx.security,SensitiveResult,getTryLimit,()
javacardx.security,SensitiveResult,arrayCopyNonAtomic,(byte[];short;byte[];short;short)
javacardx.security,SensitiveResult,nextBytes,(javacard.security.SecretKey)
javacardx.security,SensitiveResult,nextBytes,(byte[];short;short)
javacardx.security,SensitiveResult,arrayFill,(byte[];short;short;byte)
javacardx.security,SensitiveResult,signPreComputedHash,(byte[];short;short;byte[];short)
javacardx.security,SensitiveResult,verify,(byte[];short;short;byte[];short;short)
javacardx.security,SensitiveResult,verify,(javacard.security.PublicKey)
javacardx.security,SensitiveResult,getTriesRemaining,()
javacardx.security,SensitiveResult,assertPositive,()
javacardx.security,SensitiveResult,update,(byte[];short;short;byte[];short)
javacardx.security,SensitiveResult,assertNegative,()
javacardx.security,SensitiveResult,getValidatedFlag,()
javacardx.security,SensitiveResult,compareTo,(javacardx.framework.time.TimeDuration)
javacardx.security,SensitiveResult,compareTo,(short;short)
javacardx.security,SensitiveResult,compareTo,(javacardx.framework.math.BigNumber)
javacardx.security,SensitiveResult,compareTo,(javacardx.security.util.MonotonicCounter)
javacardx.security,SensitiveResult,compareTo,(byte[];short;short;byte)
javacardx.security,SensitiveResult,compareTo,(byte[];short;short)
javacardx.security,SensitiveResult,arrayFillNonAtomic,(byte[];short;short;byte)
javacardx.security,SensitiveResult,getAppletShareableInterfaceObject,(javacard.framework.AID;byte)
javacardx.security,SensitiveResult,check,(byte[];short;byte)
javacardx.security,SensitiveResult,partialEquals,(byte[];short;byte)
javacardx.security,SensitiveResult,assertZero,()
javacardx.security,SensitiveResult,incrementBy,(short)
javacardx.security,SensitiveResult,sign,(byte[];short;short;byte[];short)
javacardx.security,SensitiveResult,isValidated,()
javacardx.security,SensitiveResult,match,(byte[];short;short)
javacardx.security,SensitiveResult,assertLessThan,(short)
javacardx.security,SensitiveResult,assertGreaterThan,(short)
javacardx.security,SensitiveResult,RIDEquals,(javacard.framework.AID)
javacardx.security,SensitiveResult,setValue,(byte[];short;short)
javacardx.security,SensitiveResult,assertTrue,()
javacardx.security,SensitiveResult,retrieveTag,(byte[];short;short)
javacardx.security,SensitiveResult,doFinal,(byte[];short;short;byte[];short)
javacardx.framework.util.intx,JCint,getUnusedCommitCapacity,()
javacardx.framework.util.intx,JCint,makeInt,(byte;byte;byte;byte)
javacardx.framework.util.intx,JCint,makeInt,(short;short)
javacardx.framework.util.intx,JCint,makeTransientIntArray,(short;byte)
javacardx.framework.util.intx,JCint,makeIntArrayView,(int[];short;short;short;javacard.framework.Shareable)
javacardx.framework.util.intx,JCint,getInt,(byte[];short)
