0,CAP loaded,FF 9000
152,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{5ccc6e7c}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
153,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2325dc7f}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
154,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{4d18eacf}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
155,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2485d0a0}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
156,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{79b2aaf}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
157,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{6133d55e}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
158,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{7766207d}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
159,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{2774a788}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
160,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{52f0876c}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
161,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{36e51414}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
162,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{522b9835}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
163,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{543c96ac}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
164,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{18c2f681}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
165,"Failed to communicate with card in JnaCardTerminal{scardHandle=SCardContext{79aea6af}, name=ACS ACR1281 1S Dual Reader 00 00}: SCARD_E_NOT_TRANSACTED",
