AID,package name,class token,class name,class access flags,method/field,token,name,access flags,signature/type,value
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,field,255,PRINCIPAL_CARDHOLDER,static public final,short,1
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,field,255,PRINCIPAL_CARD_ISSUER,static public final,short,2
A000000062010101,javacard.framework.service,1,SecurityService,public abstract interface,field,255,PRINCIPAL_APP_PROVIDER,static public final,short,3
A000000062010101,javacard.framework.service,2,RemoteService,public abstract interface,method,0,processDataIn,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,2,RemoteService,public abstract interface,method,1,processCommand,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,2,RemoteService,public abstract interface,method,2,processDataOut,public abstract,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,0,<init>,public,void()
A000000062010101,javacard.framework.service,3,BasicService,public,method,0,equals,public,boolean(java.lang.object)
A000000062010101,javacard.framework.service,3,BasicService,public,method,1,processDataIn,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,2,processCommand,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,3,processDataOut,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,4,receiveInData,public,short(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,5,setProcessed,public,void(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,6,isProcessed,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,7,setOutputLength,public,void(javacard.framework.apdu;short)
A000000062010101,javacard.framework.service,3,BasicService,public,method,8,getOutputLength,public,short(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,9,setStatusWord,public,void(javacard.framework.apdu;short)
A000000062010101,javacard.framework.service,3,BasicService,public,method,10,getStatusWord,public,short(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,11,fail,public,boolean(javacard.framework.apdu;short)
A000000062010101,javacard.framework.service,3,BasicService,public,method,12,succeed,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,13,succeedWithStatusWord,public,boolean(javacard.framework.apdu;short)
A000000062010101,javacard.framework.service,3,BasicService,public,method,14,getCLA,public,byte(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,15,getINS,public,byte(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,16,getP1,public,byte(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,17,getP2,public,byte(javacard.framework.apdu)
A000000062010101,javacard.framework.service,3,BasicService,public,method,18,selectingApplet,public,boolean()
A000000062010101,javacard.framework.service,4,RMIService,public,method,0,<init>,public,void(java.rmi.remote)
A000000062010101,javacard.framework.service,4,RMIService,public,method,0,equals,public,boolean(java.lang.object)
A000000062010101,javacard.framework.service,4,RMIService,public,method,1,processDataIn,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,2,processCommand,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,3,processDataOut,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,4,receiveInData,public,short(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,5,setProcessed,public,void(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,6,isProcessed,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,7,setOutputLength,public,void(javacard.framework.apdu;short)
A000000062010101,javacard.framework.service,4,RMIService,public,method,8,getOutputLength,public,short(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,9,setStatusWord,public,void(javacard.framework.apdu;short)
A000000062010101,javacard.framework.service,4,RMIService,public,method,10,getStatusWord,public,short(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,11,fail,public,boolean(javacard.framework.apdu;short)
A000000062010101,javacard.framework.service,4,RMIService,public,method,12,succeed,public,boolean(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,13,succeedWithStatusWord,public,boolean(javacard.framework.apdu;short)
A000000062010101,javacard.framework.service,4,RMIService,public,method,14,getCLA,public,byte(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,15,getINS,public,byte(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,16,getP1,public,byte(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,17,getP2,public,byte(javacard.framework.apdu)
A000000062010101,javacard.framework.service,4,RMIService,public,method,18,selectingApplet,public,boolean()
A000000062010101,javacard.framework.service,4,RMIService,public,method,19,setInvokeInstructionByte,public,void(byte)
A000000062010101,javacard.framework.service,4,RMIService,public,field,255,DEFAULT_RMI_INVOKE_INSTRUCTION,static public final,byte,56
A000000062010101,javacard.framework.service,5,CardRemoteObject,public,method,0,<init>,public,void()
